Tahun,Bulan,Kode_Provinsi,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,CPPD_Ton
2026,Januari,11,Aceh,1105,Kab Aceh Barat,"12,83"
2026,Januari,11,Aceh,1112,Kab Aceh Barat Daya,"0,00"
2026,Januari,11,Aceh,1106,Kab Aceh Besar,"0,00"
2026,Januari,11,Aceh,1114,Kab Aceh Jaya,"76,00"
2026,Januari,11,Aceh,1101,Kab Aceh Selatan,"25,95"
2026,Januari,11,Aceh,1110,Kab Aceh Singkil,"0,00"
2026,Januari,11,Aceh,1116,Kab Aceh Tamiang,"21,75"
2026,Januari,11,Aceh,1104,Kab Aceh Tengah,"0,03"
2026,Januari,11,Aceh,1102,Kab Aceh Tenggara,"0,00"
2026,Januari,11,Aceh,1103,Kab Aceh Timur,"0,00"
2026,Januari,11,Aceh,1108,Kab Aceh Utara,"0,00"
2026,Januari,11,Aceh,1117,Kab Bener Meriah,"0,00"
2026,Januari,11,Aceh,1111,Kab Bireuen,"39,66"
2026,Januari,11,Aceh,1113,Kab Gayo Lues,"0,00"
2026,Januari,11,Aceh,1115,Kab Nagan Raya,"0,00"
2026,Januari,11,Aceh,1107,Kab Pidie,"0,00"
2026,Januari,11,Aceh,1118,Kab Pidie Jaya,"0,00"
2026,Januari,11,Aceh,1109,Kab Simeulue,"0,00"
2026,Januari,11,Aceh,1171,Kota Banda Aceh,"33,50"
2026,Januari,11,Aceh,1174,Kota Langsa,"0,00"
2026,Januari,11,Aceh,1173,Kota Lhokseumawe,"0,00"
2026,Januari,11,Aceh,1172,Kota Sabang,"0,00"
2026,Januari,11,Aceh,1175,Kota Subulussalam,"0,00"
2026,Januari,12,Sumatera Utara,1209,Kab Asahan,"10,00"
2026,Januari,12,Sumatera Utara,1219,Kab Batu Bara,"0,00"
2026,Januari,12,Sumatera Utara,1211,Kab Dairi,"0,00"
2026,Januari,12,Sumatera Utara,1207,Kab Deli Serdang,"17,87"
2026,Januari,12,Sumatera Utara,1216,Kab Humbang Hasundutan,"0,00"
2026,Januari,12,Sumatera Utara,1206,Kab Karo,"70,69"
2026,Januari,12,Sumatera Utara,1210,Kab Labuhanbatu,"0,00"
2026,Januari,12,Sumatera Utara,1222,Kab Labuhanbatu Selatan,"0,00"
2026,Januari,12,Sumatera Utara,1223,Kab Labuhanbatu Utara,"0,67"
2026,Januari,12,Sumatera Utara,1205,Kab Langkat,"0,00"
2026,Januari,12,Sumatera Utara,1213,Kab Mandailing Natal,"0,00"
2026,Januari,12,Sumatera Utara,1204,Kab Nias,"0,00"
2026,Januari,12,Sumatera Utara,1225,Kab Nias Barat,"0,00"
2026,Januari,12,Sumatera Utara,1214,Kab Nias Selatan,"0,00"
2026,Januari,12,Sumatera Utara,1224,Kab Nias Utara,"0,00"
2026,Januari,12,Sumatera Utara,1221,Kab Padang Lawas,"0,00"
2026,Januari,12,Sumatera Utara,1220,Kab Padang Lawas Utara,"8,89"
2026,Januari,12,Sumatera Utara,1215,Kab Pakpak Bharat,"0,00"
2026,Januari,12,Sumatera Utara,1217,Kab Samosir,"0,00"
2026,Januari,12,Sumatera Utara,1218,Kab Serdang Bedagai,"0,65"
2026,Januari,12,Sumatera Utara,1208,Kab Simalungun,"0,00"
2026,Januari,12,Sumatera Utara,1203,Kab Tapanuli Selatan,"0,32"
2026,Januari,12,Sumatera Utara,1201,Kab Tapanuli Tengah,"0,00"
2026,Januari,12,Sumatera Utara,1202,Kab Tapanuli Utara,"42,69"
2026,Januari,12,Sumatera Utara,1212,Kab Toba,"2,00"
2026,Januari,12,Sumatera Utara,1275,Kota Binjai,"1,98"
2026,Januari,12,Sumatera Utara,1278,Kota Gunungsitoli,"0,00"
2026,Januari,12,Sumatera Utara,1271,Kota Medan,"9,40"
2026,Januari,12,Sumatera Utara,1277,Kota Padangsidimpuan,"11,83"
2026,Januari,12,Sumatera Utara,1272,Kota Pematangsiantar,"0,00"
2026,Januari,12,Sumatera Utara,1273,Kota Sibolga,"0,00"
2026,Januari,12,Sumatera Utara,1274,Kota Tanjungbalai,"0,00"
2026,Januari,12,Sumatera Utara,1276,Kota Tebing Tinggi,"0,00"
2026,Januari,13,Sumatera Barat,1306,Kab Agam,"2,56"
2026,Januari,13,Sumatera Barat,1310,Kab Dharmasraya,"25,24"
2026,Januari,13,Sumatera Barat,1309,Kab Kepulauan Mentawai,"13,53"
2026,Januari,13,Sumatera Barat,1307,Kab Lima Puluh Kota,"89,97"
2026,Januari,13,Sumatera Barat,1305,Kab Padang Pariaman,"28,71"
2026,Januari,13,Sumatera Barat,1308,Kab Pasaman,"60,28"
2026,Januari,13,Sumatera Barat,1312,Kab Pasaman Barat,"12,68"
2026,Januari,13,Sumatera Barat,1301,Kab Pesisir Selatan,"0,00"
2026,Januari,13,Sumatera Barat,1303,Kab Sijunjung,"17,64"
2026,Januari,13,Sumatera Barat,1302,Kab Solok,"1,31"
2026,Januari,13,Sumatera Barat,1311,Kab Solok Selatan,"19,64"
2026,Januari,13,Sumatera Barat,1304,Kab Tanah Datar,"16,42"
2026,Januari,13,Sumatera Barat,1375,Kota Bukittinggi,"21,23"
2026,Januari,13,Sumatera Barat,1371,Kota Padang,"144,19"
2026,Januari,13,Sumatera Barat,1374,Kota Padang Panjang,"17,45"
2026,Januari,13,Sumatera Barat,1377,Kota Pariaman,"5,14"
2026,Januari,13,Sumatera Barat,1376,Kota Payakumbuh,"41,24"
2026,Januari,13,Sumatera Barat,1373,Kota Sawahlunto,"32,34"
2026,Januari,13,Sumatera Barat,1372,Kota Solok,"22,60"
2026,Januari,14,Riau,1403,Kab Bengkalis,"54,39"
2026,Januari,14,Riau,1404,Kab Indragiri Hilir,"0,36"
2026,Januari,14,Riau,1402,Kab Indragiri Hulu,"7,65"
2026,Januari,14,Riau,1401,Kab Kampar,"70,00"
2026,Januari,14,Riau,1410,Kab Kepulauan Meranti,"0,00"
2026,Januari,14,Riau,1409,Kab Kuantan Singingi,"0,00"
2026,Januari,14,Riau,1405,Kab Pelalawan,"6,06"
2026,Januari,14,Riau,1407,Kab Rokan Hilir,"0,00"
2026,Januari,14,Riau,1406,Kab Rokan Hulu,"3,13"
2026,Januari,14,Riau,1408,Kab Siak,"10,00"
2026,Januari,14,Riau,1472,Kota Dumai,"23,30"
2026,Januari,14,Riau,1471,Kota Pekanbaru,"11,27"
2026,Januari,15,Jambi,1504,Kab Batanghari,"26,21"
2026,Januari,15,Jambi,1508,Kab Bungo,"26,22"
2026,Januari,15,Jambi,1501,Kab Kerinci,"5,70"
2026,Januari,15,Jambi,1502,Kab Merangin,"2,66"
2026,Januari,15,Jambi,1505,Kab Muaro Jambi,"42,30"
2026,Januari,15,Jambi,1503,Kab Sarolangun,"80,92"
2026,Januari,15,Jambi,1506,Kab Tanjung Jabung Barat,"34,85"
2026,Januari,15,Jambi,1507,Kab Tanjung Jabung Timur,"31,44"
2026,Januari,15,Jambi,1509,Kab Tebo,"14,95"
